tamano,caso,repeticion,tiempo_segundos
100,Promedio,2,0.00051438
100,Promedio,3,0.00010917
100,Promedio,4,0.00024388
100,Promedio,5,0.00015823
100,Promedio,6,0.00012798
100,Promedio,7,0.00025489
100,Promedio,8,0.00012248
100,Promedio,9,0.00012534
100,Promedio,10,0.00008554
100,Promedio,11,0.00008028
100,Promedio,12,0.00009090
100,Promedio,13,0.00008326
100,Promedio,14,0.00008242
100,Promedio,15,0.00009835
100,Promedio,16,0.00008612
100,Promedio,17,0.00008578
100,Promedio,18,0.00008364
100,Promedio,19,0.00008631
100,Promedio,20,0.00010493
100,Promedio,21,0.00008592
100,Promedio,22,0.00012046
100,Promedio,23,0.00028828
100,Promedio,24,0.00011757
100,Promedio,25,0.00011921
100,Promedio,26,0.00025383
100,Promedio,27,0.00012715
100,Promedio,28,0.00014641
100,Promedio,29,0.00011985
100,Promedio,30,0.00011194
200,Promedio,1,0.00025481
200,Promedio,2,0.00034865
200,Promedio,3,0.00025234
200,Promedio,4,0.00019878
200,Promedio,5,0.00027736
200,Promedio,6,0.00025628
200,Promedio,7,0.00025530
200,Promedio,8,0.00039581
200,Promedio,9,0.00020253
200,Promedio,10,0.00036525
200,Promedio,11,0.00026577
200,Promedio,12,0.00042150
200,Promedio,13,0.00030168
200,Promedio,14,0.00022520
200,Promedio,15,0.00019304
200,Promedio,16,0.00021946
200,Promedio,17,0.00024015
200,Promedio,18,0.00037780
200,Promedio,19,0.00047066
200,Promedio,20,0.00034826
200,Promedio,21,0.00046025
200,Promedio,22,0.00028096
200,Promedio,23,0.00054005
200,Promedio,24,0.00025117
200,Promedio,25,0.00028973
200,Promedio,26,0.00030373
200,Promedio,27,0.00023622
200,Promedio,28,0.00021091
200,Promedio,29,0.00035187
200,Promedio,30,0.00028986
500,Promedio,1,0.00074299
500,Promedio,2,0.00089194
500,Promedio,3,0.00114520
500,Promedio,4,0.00085623
500,Promedio,5,0.00100765
500,Promedio,6,0.00084978
500,Promedio,7,0.00085672
500,Promedio,8,0.00101666
500,Promedio,9,0.00074268
500,Promedio,10,0.00076675
500,Promedio,11,0.00091266
500,Promedio,12,0.00089484
500,Promedio,13,0.00112316
500,Promedio,14,0.00072064
500,Promedio,15,0.00074944
500,Promedio,16,0.00113749
500,Promedio,17,0.00055851
500,Promedio,18,0.00084571
500,Promedio,19,0.00061052
500,Promedio,20,0.00073868
500,Promedio,21,0.00082808
500,Promedio,22,0.00068537
500,Promedio,23,0.00101467
500,Promedio,24,0.00073897
500,Promedio,25,0.00098481
500,Promedio,26,0.00121770
500,Promedio,27,0.00097692
500,Promedio,28,0.00082882
500,Promedio,29,0.00082211
500,Promedio,30,0.00076658
1000,Promedio,1,0.00180015
1000,Promedio,2,0.00202599
1000,Promedio,3,0.00217202
1000,Promedio,4,0.00184101
1000,Promedio,5,0.00265863
1000,Promedio,6,0.00186546
1000,Promedio,7,0.00196742
1000,Promedio,8,0.00214167
1000,Promedio,9,0.00219423
1000,Promedio,10,0.00223913
1000,Promedio,11,0.00249342
1000,Promedio,12,0.00204751
1000,Promedio,13,0.00186214
